Men's 400m Individual Medley
Men's 400m Freestyle
Women's 400m Individual Medley
Women's 100m Butterfly
Men's 100m Breaststroke
Women's 400m Freestyle
Men's 4 x 100m Freestyle Relay
Men's 200m Freestyle
Women's 100m Backstroke
Men's 100m Backstroke
Women's 100m Breaststroke
Women's Synchronised 3m Springboard
Men's Synchronised 10m Platform
Mixed Team
Women's team
Men's team
Softball
Men's Canoe
Women's Kayak
Men's Road Race
Women's Road Race
Men's cross-country
Women's cross-country
Women's Épée Individual
Men's Sabre Individual
Women's Foil Individual
Men's Épée Individual
Women's Sabre Individual
Men's Foil Individual
Women's Épée Team
Men -60 kg
Women -48 kg
Men -66 kg
Women -52 kg
Men -73 kg
Women -57 kg
Men -81 kg
Women -63 kg
10m Air Rifle Women's 
10m Air Pistol Men's 
10m Air Pistol Women's
10m Air Rifle Men's
Skeet Women's
Skeet Men's
10m Air Pistol Mixed Team
10m Air Rifle Mixed Team
Mixed Doubles
Men's
Women's
Women -49kg
Men -58kg
Women -57kg
Men -68kg
Women -67kg
Men -80kg
Men +80kg
Women +67kg
Men's individual
Women's individual
Women's 49kg
Men's 61kg
Men's 67kg
Women's 59kg
Women's 64kg
